Time,value,signal
2026-01-21 14:52:50.340426+00:00,0,accx
2026-01-21 14:52:51.340426+00:00,1,accx
2026-01-21 14:52:52.340426+00:00,2,accx
2026-01-21 14:52:53.340426+00:00,3,accx
2026-01-21 14:52:54.340426+00:00,4,accx
2026-01-21 14:52:55.340426+00:00,5,accx
2026-01-21 14:52:56.340426+00:00,6,accx
2026-01-21 14:52:57.340426+00:00,7,accx
2026-01-21 14:52:58.340426+00:00,8,accx
2026-01-21 14:52:59.340426+00:00,9,accx
2026-01-21 14:53:00.340426+00:00,10,accx
2026-01-21 14:53:01.340426+00:00,11,accx
2026-01-21 14:53:02.340426+00:00,12,accx
2026-01-21 14:53:03.340426+00:00,13,accx
2026-01-21 14:53:04.340426+00:00,14,accx
2026-01-21 14:53:05.340426+00:00,15,accx
2026-01-21 14:53:06.340426+00:00,16,accx
2026-01-21 14:53:07.340426+00:00,17,accx
2026-01-21 14:53:08.340426+00:00,18,accx
2026-01-21 14:53:09.340426+00:00,19,accx
2026-01-21 14:53:10.340426+00:00,20,accx
2026-01-21 14:53:11.340426+00:00,21,accx
2026-01-21 14:53:12.340426+00:00,22,accx
2026-01-21 14:53:13.340426+00:00,23,accx
2026-01-21 14:53:14.340426+00:00,24,accx
2026-01-21 14:53:15.340426+00:00,25,accx
2026-01-21 14:53:16.340426+00:00,26,accx
2026-01-21 14:53:17.340426+00:00,27,accx
2026-01-21 14:53:18.340426+00:00,28,accx
2026-01-21 14:53:19.340426+00:00,29,accx
2026-01-21 14:53:20.340426+00:00,30,accx
2026-01-21 14:53:21.340426+00:00,31,accx
2026-01-21 14:53:22.340426+00:00,32,accx
2026-01-21 14:53:23.340426+00:00,33,accx
2026-01-21 14:53:24.340426+00:00,34,accx
2026-01-21 14:53:25.340426+00:00,35,accx
2026-01-21 14:53:26.340426+00:00,36,accx
2026-01-21 14:53:27.340426+00:00,37,accx
2026-01-21 14:53:28.340426+00:00,38,accx
2026-01-21 14:53:29.340426+00:00,39,accx
2026-01-21 14:53:30.340426+00:00,40,accx
2026-01-21 14:53:31.340426+00:00,41,accx
2026-01-21 14:53:32.340426+00:00,42,accx
2026-01-21 14:53:33.340426+00:00,43,accx
2026-01-21 14:53:34.340426+00:00,44,accx
2026-01-21 14:53:35.340426+00:00,45,accx
2026-01-21 14:53:36.340426+00:00,46,accx
2026-01-21 14:53:37.340426+00:00,47,accx
2026-01-21 14:53:38.340426+00:00,48,accx
2026-01-21 14:53:39.340426+00:00,49,accx
2026-01-21 14:53:40.340426+00:00,50,accx
2026-01-21 14:53:41.340426+00:00,51,accx
2026-01-21 14:53:42.340426+00:00,52,accx
2026-01-21 14:53:43.340426+00:00,53,accx
2026-01-21 14:53:44.340426+00:00,54,accx
2026-01-21 14:53:45.340426+00:00,55,accx
2026-01-21 14:53:46.340426+00:00,56,accx
2026-01-21 14:53:47.340426+00:00,57,accx
2026-01-21 14:53:48.340426+00:00,58,accx
2026-01-21 14:53:49.340426+00:00,59,accx
2026-01-21 14:53:50.340426+00:00,60,accx
2026-01-21 14:53:51.340426+00:00,61,accx
2026-01-21 14:53:52.340426+00:00,62,accx
2026-01-21 14:53:53.340426+00:00,63,accx
2026-01-21 14:53:54.340426+00:00,64,accx
2026-01-21 14:53:55.340426+00:00,65,accx
2026-01-21 14:53:56.340426+00:00,66,accx
2026-01-21 14:53:57.340426+00:00,67,accx
2026-01-21 14:53:58.340426+00:00,68,accx
2026-01-21 14:53:59.340426+00:00,69,accx
2026-01-21 14:54:00.340426+00:00,70,accx
2026-01-21 14:54:01.340426+00:00,71,accx
2026-01-21 14:54:02.340426+00:00,72,accx
2026-01-21 14:54:03.340426+00:00,73,accx
2026-01-21 14:54:04.340426+00:00,74,accx
2026-01-21 14:54:05.340426+00:00,75,accx
2026-01-21 14:54:06.340426+00:00,76,accx
2026-01-21 14:54:07.340426+00:00,77,accx
2026-01-21 14:54:08.340426+00:00,78,accx
2026-01-21 14:54:09.340426+00:00,79,accx
2026-01-21 14:54:10.340426+00:00,80,accx
2026-01-21 14:54:11.340426+00:00,81,accx
2026-01-21 14:54:12.340426+00:00,82,accx
2026-01-21 14:54:13.340426+00:00,83,accx
2026-01-21 14:54:14.340426+00:00,84,accx
2026-01-21 14:54:15.340426+00:00,85,accx
2026-01-21 14:54:16.340426+00:00,86,accx
2026-01-21 14:54:17.340426+00:00,87,accx
2026-01-21 14:54:18.340426+00:00,88,accx
2026-01-21 14:54:19.340426+00:00,89,accx
2026-01-21 14:54:20.340426+00:00,90,accx
2026-01-21 14:54:21.340426+00:00,91,accx
2026-01-21 14:54:22.340426+00:00,92,accx
2026-01-21 14:54:23.340426+00:00,93,accx
2026-01-21 14:54:24.340426+00:00,94,accx
2026-01-21 14:54:25.340426+00:00,95,accx
2026-01-21 14:54:26.340426+00:00,96,accx
2026-01-21 14:54:27.340426+00:00,97,accx
2026-01-21 14:54:28.340426+00:00,98,accx
2026-01-21 14:54:29.340426+00:00,99,accx
2026-01-21 14:54:30.340426+00:00,100,accx
2026-01-21 14:54:31.340426+00:00,101,accx
2026-01-21 14:54:32.340426+00:00,102,accx
2026-01-21 14:54:33.340426+00:00,103,accx
2026-01-21 14:54:34.340426+00:00,104,accx
2026-01-21 14:54:35.340426+00:00,105,accx
2026-01-21 14:54:36.340426+00:00,106,accx
2026-01-21 14:54:37.340426+00:00,107,accx
2026-01-21 14:54:38.340426+00:00,108,accx
2026-01-21 14:54:39.340426+00:00,109,accx
2026-01-21 14:54:40.340426+00:00,110,accx
2026-01-21 14:54:41.340426+00:00,111,accx
2026-01-21 14:54:42.340426+00:00,112,accx
2026-01-21 14:54:43.340426+00:00,113,accx
2026-01-21 14:54:44.340426+00:00,114,accx
2026-01-21 14:54:45.340426+00:00,115,accx
2026-01-21 14:54:46.340426+00:00,116,accx
2026-01-21 14:54:47.340426+00:00,117,accx
2026-01-21 14:54:48.340426+00:00,118,accx
2026-01-21 14:54:49.340426+00:00,119,accx
2026-01-21 14:54:50.340426+00:00,120,accx
2026-01-21 14:54:51.340426+00:00,121,accx
2026-01-21 14:54:52.340426+00:00,122,accx
2026-01-21 14:54:53.340426+00:00,123,accx
2026-01-21 14:54:54.340426+00:00,124,accx
2026-01-21 14:54:55.340426+00:00,125,accx
2026-01-21 14:54:56.340426+00:00,126,accx
2026-01-21 14:54:57.340426+00:00,127,accx
2026-01-21 14:54:58.340426+00:00,128,accx
2026-01-21 14:54:59.340426+00:00,129,accx
2026-01-21 14:55:00.340426+00:00,130,accx
2026-01-21 14:55:01.340426+00:00,131,accx
2026-01-21 14:55:02.340426+00:00,132,accx
2026-01-21 14:55:03.340426+00:00,133,accx
2026-01-21 14:55:04.340426+00:00,134,accx
2026-01-21 14:55:05.340426+00:00,135,accx
2026-01-21 14:55:06.340426+00:00,136,accx
2026-01-21 14:55:07.340426+00:00,137,accx
2026-01-21 14:55:08.340426+00:00,138,accx
2026-01-21 14:55:09.340426+00:00,139,accx
2026-01-21 14:55:10.340426+00:00,140,accx
2026-01-21 14:55:11.340426+00:00,141,accx
2026-01-21 14:55:12.340426+00:00,142,accx
2026-01-21 14:55:13.340426+00:00,143,accx
2026-01-21 14:55:14.340426+00:00,144,accx
2026-01-21 14:55:15.340426+00:00,145,accx
2026-01-21 14:55:16.340426+00:00,146,accx
2026-01-21 14:55:17.340426+00:00,147,accx
2026-01-21 14:55:18.340426+00:00,148,accx
2026-01-21 14:55:19.340426+00:00,149,accx
2026-01-21 14:55:20.340426+00:00,150,accx
2026-01-21 14:55:21.340426+00:00,151,accx
2026-01-21 14:55:22.340426+00:00,152,accx
2026-01-21 14:55:23.340426+00:00,153,accx
2026-01-21 14:55:24.340426+00:00,154,accx
2026-01-21 14:55:25.340426+00:00,155,accx
2026-01-21 14:55:26.340426+00:00,156,accx
2026-01-21 14:55:27.340426+00:00,157,accx
2026-01-21 14:55:28.340426+00:00,158,accx
2026-01-21 14:55:29.340426+00:00,159,accx
2026-01-21 14:55:30.340426+00:00,160,accx
2026-01-21 14:55:31.340426+00:00,161,accx
2026-01-21 14:55:32.340426+00:00,162,accx
2026-01-21 14:55:33.340426+00:00,163,accx
2026-01-21 14:55:34.340426+00:00,164,accx
2026-01-21 14:55:35.340426+00:00,165,accx
2026-01-21 14:55:36.340426+00:00,166,accx
2026-01-21 14:55:37.340426+00:00,167,accx
2026-01-21 14:55:38.340426+00:00,168,accx
2026-01-21 14:55:39.340426+00:00,169,accx
2026-01-21 14:55:40.340426+00:00,170,accx
2026-01-21 14:55:41.340426+00:00,171,accx
2026-01-21 14:55:42.340426+00:00,172,accx
2026-01-21 14:55:43.340426+00:00,173,accx
2026-01-21 14:55:44.340426+00:00,174,accx
2026-01-21 14:55:45.340426+00:00,175,accx
2026-01-21 14:55:46.340426+00:00,176,accx
2026-01-21 14:55:47.340426+00:00,177,accx
2026-01-21 14:55:48.340426+00:00,178,accx
2026-01-21 14:55:49.340426+00:00,179,accx
2026-01-21 14:55:50.340426+00:00,180,accx
2026-01-21 14:55:51.340426+00:00,181,accx
2026-01-21 14:55:52.340426+00:00,182,accx
2026-01-21 14:55:53.340426+00:00,183,accx
2026-01-21 14:55:54.340426+00:00,184,accx
2026-01-21 14:55:55.340426+00:00,185,accx
2026-01-21 14:55:56.340426+00:00,186,accx
2026-01-21 14:55:57.340426+00:00,187,accx
2026-01-21 14:55:58.340426+00:00,188,accx
2026-01-21 14:55:59.340426+00:00,189,accx
2026-01-21 14:56:00.340426+00:00,190,accx
2026-01-21 14:56:01.340426+00:00,191,accx
2026-01-21 14:56:02.340426+00:00,192,accx
2026-01-21 14:56:03.340426+00:00,193,accx
2026-01-21 14:56:04.340426+00:00,194,accx
2026-01-21 14:56:05.340426+00:00,195,accx
2026-01-21 14:56:06.340426+00:00,196,accx
2026-01-21 14:56:07.340426+00:00,197,accx
2026-01-21 14:56:08.340426+00:00,198,accx
2026-01-21 14:56:09.340426+00:00,199,accx
2026-01-21 14:56:10.340426+00:00,200,accx
2026-01-21 14:56:11.340426+00:00,201,accx
2026-01-21 14:56:12.340426+00:00,202,accx
2026-01-21 14:56:13.340426+00:00,203,accx
2026-01-21 14:56:14.340426+00:00,204,accx
2026-01-21 14:56:15.340426+00:00,205,accx
2026-01-21 14:56:16.340426+00:00,206,accx
2026-01-21 14:56:17.340426+00:00,207,accx
2026-01-21 14:56:18.340426+00:00,208,accx
2026-01-21 14:56:19.340426+00:00,209,accx
2026-01-21 14:56:20.340426+00:00,210,accx
2026-01-21 14:56:21.340426+00:00,211,accx
2026-01-21 14:56:22.340426+00:00,212,accx
2026-01-21 14:56:23.340426+00:00,213,accx
2026-01-21 14:56:24.340426+00:00,214,accx
2026-01-21 14:56:25.340426+00:00,215,accx
2026-01-21 14:56:26.340426+00:00,216,accx
2026-01-21 14:56:27.340426+00:00,217,accx
2026-01-21 14:56:28.340426+00:00,218,accx
2026-01-21 14:56:29.340426+00:00,219,accx
2026-01-21 14:56:30.340426+00:00,220,accx
2026-01-21 14:56:31.340426+00:00,221,accx
2026-01-21 14:56:32.340426+00:00,222,accx
2026-01-21 14:56:33.340426+00:00,223,accx
2026-01-21 14:56:34.340426+00:00,224,accx
2026-01-21 14:56:35.340426+00:00,225,accx
2026-01-21 14:56:36.340426+00:00,226,accx
2026-01-21 14:56:37.340426+00:00,227,accx
2026-01-21 14:56:38.340426+00:00,228,accx
2026-01-21 14:56:39.340426+00:00,229,accx
2026-01-21 14:56:40.340426+00:00,230,accx
2026-01-21 14:56:41.340426+00:00,231,accx
2026-01-21 14:56:42.340426+00:00,232,accx
2026-01-21 14:56:43.340426+00:00,233,accx
2026-01-21 14:56:44.340426+00:00,234,accx
2026-01-21 14:56:45.340426+00:00,235,accx
2026-01-21 14:56:46.340426+00:00,236,accx
2026-01-21 14:56:47.340426+00:00,237,accx
2026-01-21 14:56:48.340426+00:00,238,accx
2026-01-21 14:56:49.340426+00:00,239,accx
2026-01-21 14:56:50.340426+00:00,240,accx
2026-01-21 14:56:51.340426+00:00,241,accx
2026-01-21 14:56:52.340426+00:00,242,accx
2026-01-21 14:56:53.340426+00:00,243,accx
2026-01-21 14:56:54.340426+00:00,244,accx
2026-01-21 14:56:55.340426+00:00,245,accx
2026-01-21 14:56:56.340426+00:00,246,accx
2026-01-21 14:56:57.340426+00:00,247,accx
2026-01-21 14:56:58.340426+00:00,248,accx
2026-01-21 14:56:59.340426+00:00,249,accx
2026-01-21 14:57:00.340426+00:00,250,accx
2026-01-21 14:57:01.340426+00:00,251,accx
2026-01-21 14:57:02.340426+00:00,252,accx
2026-01-21 14:57:03.340426+00:00,253,accx
2026-01-21 14:57:04.340426+00:00,254,accx
2026-01-21 14:57:05.340426+00:00,255,accx
2026-01-21 14:57:06.340426+00:00,256,accx
2026-01-21 14:57:07.340426+00:00,257,accx
2026-01-21 14:57:08.340426+00:00,258,accx
2026-01-21 14:57:09.340426+00:00,259,accx
2026-01-21 14:57:10.340426+00:00,260,accx
2026-01-21 14:57:11.340426+00:00,261,accx
2026-01-21 14:57:12.340426+00:00,262,accx
2026-01-21 14:57:13.340426+00:00,263,accx
2026-01-21 14:57:14.340426+00:00,264,accx
2026-01-21 14:57:15.340426+00:00,265,accx
2026-01-21 14:57:16.340426+00:00,266,accx
2026-01-21 14:57:17.340426+00:00,267,accx
2026-01-21 14:57:18.340426+00:00,268,accx
2026-01-21 14:57:19.340426+00:00,269,accx
2026-01-21 14:57:20.340426+00:00,270,accx
2026-01-21 14:57:21.340426+00:00,271,accx
2026-01-21 14:57:22.340426+00:00,272,accx
2026-01-21 14:57:23.340426+00:00,273,accx
2026-01-21 14:57:24.340426+00:00,274,accx
2026-01-21 14:57:25.340426+00:00,275,accx
2026-01-21 14:57:26.340426+00:00,276,accx
2026-01-21 14:57:27.340426+00:00,277,accx
2026-01-21 14:57:28.340426+00:00,278,accx
2026-01-21 14:57:29.340426+00:00,279,accx
2026-01-21 14:57:30.340426+00:00,280,accx
2026-01-21 14:57:31.340426+00:00,281,accx
2026-01-21 14:57:32.340426+00:00,282,accx
2026-01-21 14:57:33.340426+00:00,283,accx
2026-01-21 14:57:34.340426+00:00,284,accx
2026-01-21 14:57:35.340426+00:00,285,accx
2026-01-21 14:57:36.340426+00:00,286,accx
2026-01-21 14:57:37.340426+00:00,287,accx
2026-01-21 14:57:38.340426+00:00,288,accx
2026-01-21 14:57:39.340426+00:00,289,accx
2026-01-21 14:57:40.340426+00:00,290,accx
2026-01-21 14:57:41.340426+00:00,291,accx
2026-01-21 14:57:42.340426+00:00,292,accx
2026-01-21 14:57:43.340426+00:00,293,accx
2026-01-21 14:57:44.340426+00:00,294,accx
2026-01-21 14:57:45.340426+00:00,295,accx
2026-01-21 14:57:46.340426+00:00,296,accx
2026-01-21 14:57:47.340426+00:00,297,accx
2026-01-21 14:57:48.340426+00:00,298,accx
2026-01-21 14:57:49.340426+00:00,299,accx
2026-01-21 14:57:50.340426+00:00,300,accx
