Time,DistanceTotalizer(km)
2026-01-14 16:01:36,152614
2026-01-14 16:03:11,152614
2026-01-14 16:03:35,152614
2026-01-14 16:03:58,152614
2026-01-14 16:04:22,152614
2026-01-14 16:04:46,152614
2026-01-14 16:05:10,152614
2026-01-14 16:05:33,152614
2026-01-14 16:05:57,152614
2026-01-14 16:06:21,152614
2026-01-14 16:06:45,152614
2026-01-14 16:07:19,152614
2026-01-14 16:07:43,152614
2026-01-14 16:08:07,152614
2026-01-14 16:08:30,152614
2026-01-14 16:08:54,152614
2026-01-14 16:09:18,152614
2026-01-14 16:09:41,152614
2026-01-14 16:10:05,152614
2026-01-14 16:10:29,152614
2026-01-14 16:10:53,152614
2026-01-14 16:11:16,152614
2026-01-14 16:11:40,152614
2026-01-14 16:12:04,152614
2026-01-14 16:12:28,152614
2026-01-14 16:12:51,152614
2026-01-14 16:13:29,152614
2026-01-14 16:13:47,152614
2026-01-14 16:14:07,152614
2026-01-14 16:14:26,152614
2026-01-14 16:14:45,152614
2026-01-14 16:15:03,152614
2026-01-14 16:15:23,152614
2026-01-14 16:15:42,152614
2026-01-14 16:16:01,152614
2026-01-14 16:16:20,152614
2026-01-14 16:16:39,152614
2026-01-14 16:16:58,152614
2026-01-14 16:17:17,152614
2026-01-14 16:17:36,152614
2026-01-14 16:17:55,152614
2026-01-14 16:18:14,152614
2026-01-14 17:09:00,152614
2026-01-14 17:09:23,152614
2026-01-14 17:09:47,152614
2026-01-14 17:10:06,152614
2026-01-14 17:10:25,152614
2026-01-14 17:10:44,152614
2026-01-14 17:11:03,152614
2026-01-14 17:11:22,152614
2026-01-14 17:11:41,152614
2026-01-14 17:12:00,152614
2026-01-14 17:12:19,152614
2026-01-14 17:12:38,152614
2026-01-14 17:12:57,152614
2026-01-14 17:13:16,152614
2026-01-14 17:13:35,152614
2026-01-14 17:13:54,152614
2026-01-14 17:14:13,152614
2026-01-14 17:14:32,152614
2026-01-14 17:14:51,152614
2026-01-14 17:16:38,152614
2026-01-14 17:17:02,152614
2026-01-14 17:17:26,152614
2026-01-14 17:17:48,152614
2026-01-14 17:18:06,152614
2026-01-14 17:18:26,152614
2026-01-14 17:18:44,152614
2026-01-14 17:19:04,152614
2026-01-14 17:19:23,152614
2026-01-14 17:19:42,152614
2026-01-14 17:20:01,152614
2026-01-14 17:20:20,152614
2026-01-14 17:20:39,152614
2026-01-14 17:20:58,152614
2026-01-14 17:21:17,152614
2026-01-14 17:21:36,152614
2026-01-14 17:21:55,152614
2026-01-14 17:22:14,152614
2026-01-14 17:22:33,152614
2026-01-14 17:24:20,152614
2026-01-14 17:24:43,152614
2026-01-14 17:25:07,152614
2026-01-14 17:25:31,152614
2026-01-14 17:25:55,152614
2026-01-14 17:26:14,152614
2026-01-14 17:26:33,152614
2026-01-14 17:26:52,152614
2026-01-14 17:27:11,152614
2026-01-14 17:27:30,152614
2026-01-14 17:27:49,152614
2026-01-14 17:28:08,152614
2026-01-14 17:28:27,152614
2026-01-14 17:28:46,152614
2026-01-14 17:29:05,152614
2026-01-14 17:29:24,152614
2026-01-14 17:29:43,152614
2026-01-14 17:30:02,152614
2026-01-14 17:30:21,152614
2026-01-14 17:30:40,152614
2026-01-14 18:03:43,152614
2026-01-14 18:04:02,152614
2026-01-14 18:04:21,152614
2026-01-14 18:04:40,152614
2026-01-14 18:04:59,152614
2026-01-14 18:05:18,152614
2026-01-14 18:05:37,152614
2026-01-14 18:05:56,152614
2026-01-14 18:06:15,152614
2026-01-14 18:06:34,152614
2026-01-14 18:06:53,152614
2026-01-14 18:07:12,152614
2026-01-14 18:07:31,152614
2026-01-14 18:07:50,152614
2026-01-14 18:08:09,152614
2026-01-14 18:08:28,152614
2026-01-14 18:16:08,152614
2026-01-14 18:16:32,152614
2026-01-14 18:16:55,152614
2026-01-14 18:17:19,152614
2026-01-14 18:17:43,152614
2026-01-14 18:18:07,152614
2026-01-14 18:18:30,152614
2026-01-14 18:19:02,152614
2026-01-14 18:19:21,152614
2026-01-14 18:19:40,152614
2026-01-14 18:19:59,152614
2026-01-14 18:20:18,152614
2026-01-14 18:20:37,152614
2026-01-14 18:20:56,152614
2026-01-14 18:21:15,152614
2026-01-14 18:21:34,152614
2026-01-14 18:21:53,152614
2026-01-14 18:22:12,152614
2026-01-14 18:22:31,152614
2026-01-14 18:22:50,152614
2026-01-14 18:23:09,152614
2026-01-14 18:23:28,152614
2026-01-14 18:23:47,152614
2026-01-14 21:11:22,152614
2026-01-14 21:11:41,152614
2026-01-14 21:12:00,152614
2026-01-14 21:12:19,152614
2026-01-14 21:12:38,152614
2026-01-14 21:12:57,152614
2026-01-14 21:13:16,152614
2026-01-14 21:13:35,152614
2026-01-14 21:13:54,152614
2026-01-14 21:14:13,152614
2026-01-14 21:14:32,152614
2026-01-14 21:14:51,152614
2026-01-14 21:15:10,152614
2026-01-14 21:15:29,152614
2026-01-14 21:15:48,152614
2026-01-14 21:16:07,152614
2026-01-15 00:03:36,152614
2026-01-15 00:03:55,152614
2026-01-15 00:04:14,152614
2026-01-15 00:04:33,152614
2026-01-15 00:04:52,152614
2026-01-15 00:05:11,152614
2026-01-15 00:05:30,152614
2026-01-15 00:05:49,152614
2026-01-15 00:06:08,152614
2026-01-15 00:06:27,152614
2026-01-15 00:06:46,152614
2026-01-15 00:07:05,152614
2026-01-15 00:07:24,152614
2026-01-15 00:07:43,152614
2026-01-15 00:08:03,152614
2026-01-15 00:08:21,152614
2026-01-15 02:55:54,152614
2026-01-15 02:56:13,152614
2026-01-15 02:56:32,152614
2026-01-15 02:56:51,152614
2026-01-15 02:57:10,152614
2026-01-15 02:57:29,152614
2026-01-15 02:57:48,152614
2026-01-15 02:58:07,152614
2026-01-15 02:58:26,152614
2026-01-15 02:58:45,152614
2026-01-15 02:59:04,152614
2026-01-15 02:59:23,152614
2026-01-15 02:59:42,152614
2026-01-15 03:00:01,152614
2026-01-15 03:00:20,152614
2026-01-15 03:00:39,152614
2026-01-15 05:48:07,152614
2026-01-15 05:48:27,152614
2026-01-15 05:48:45,152614
2026-01-15 05:49:04,152614
2026-01-15 05:49:24,152614
2026-01-15 05:49:42,152614
2026-01-15 05:50:02,152614
2026-01-15 05:50:21,152614
2026-01-15 05:50:39,152614
2026-01-15 05:50:59,152614
2026-01-15 05:51:18,152614
2026-01-15 05:51:36,152614
2026-01-15 05:51:56,152614
2026-01-15 05:52:15,152614
2026-01-15 05:52:34,152614
2026-01-15 05:52:53,152614
2026-01-15 08:40:22,152614
2026-01-15 08:40:41,152614
2026-01-15 08:41:00,152614
2026-01-15 08:41:18,152614
2026-01-15 08:41:38,152614
2026-01-15 08:41:57,152614
2026-01-15 08:42:16,152614
2026-01-15 08:42:35,152614
2026-01-15 08:42:54,152614
2026-01-15 08:43:13,152614
2026-01-15 08:43:32,152614
2026-01-15 08:43:51,152614
2026-01-15 08:44:10,152614
2026-01-15 08:44:29,152614
2026-01-15 08:44:48,152614
2026-01-15 08:45:07,152614
2026-01-15 10:23:44,152614
2026-01-15 10:24:15,152614
2026-01-15 10:24:39,152614
2026-01-15 10:25:03,152614
2026-01-15 10:25:26,152614
2026-01-15 10:25:50,152614
2026-01-15 10:26:14,152614
2026-01-15 10:26:50,152614
2026-01-15 10:27:09,152614
2026-01-15 10:27:28,152614
2026-01-15 10:27:47,152614
2026-01-15 10:28:06,152614
2026-01-15 10:28:25,152614
2026-01-15 10:28:44,152614
2026-01-15 10:29:03,152614
2026-01-15 10:29:22,152614
2026-01-15 10:29:41,152614
2026-01-15 10:30:00,152614
2026-01-15 10:30:19,152614
2026-01-15 10:30:38,152614
2026-01-15 10:30:57,152614
2026-01-15 10:31:16,152614
2026-01-15 10:31:35,152614
2026-01-15 10:32:42,152614
2026-01-15 10:33:06,152614
2026-01-15 10:33:30,152614
2026-01-15 10:33:54,152614
2026-01-15 10:36:10,152614
2026-01-15 10:36:29,152614
2026-01-15 10:36:48,152614
2026-01-15 10:37:07,152614
2026-01-15 10:37:27,152614
2026-01-15 10:37:45,152614
2026-01-15 10:38:04,152614
2026-01-15 10:38:24,152614
2026-01-15 10:38:42,152614
2026-01-15 10:39:02,152614
2026-01-15 10:39:21,152614
2026-01-15 10:39:39,152614
2026-01-15 10:39:59,152614
2026-01-15 10:43:24,152614
2026-01-15 10:47:58,152614
2026-01-15 10:48:22,152614
2026-01-15 10:48:46,152614
2026-01-15 10:49:10,152614
2026-01-15 10:49:33,152614
2026-01-15 10:49:57,152614
2026-01-15 10:50:21,152614
2026-01-15 10:50:45,152614
2026-01-15 10:51:08,152614
2026-01-15 10:51:32,152614
2026-01-15 10:51:56,152614
2026-01-15 10:52:20,152614
2026-01-15 10:52:43,152614
2026-01-15 10:53:07,152614
2026-01-15 10:53:31,152614
2026-01-15 10:56:39,152614
2026-01-15 10:57:03,152614
2026-01-15 10:57:26,152614
2026-01-15 10:57:50,152614
2026-01-15 10:58:14,152614
2026-01-15 10:58:37,152614
2026-01-15 10:59:01,152614
2026-01-15 10:59:25,152614
2026-01-15 10:59:49,152614
2026-01-15 11:00:13,152614
2026-01-15 11:00:36,152614
2026-01-15 11:01:03,152614
2026-01-15 11:01:22,152614
2026-01-15 11:01:41,152614
2026-01-15 11:02:00,152614
2026-01-15 11:02:29,152614
2026-01-15 11:03:10,152614
2026-01-15 11:03:29,152614
2026-01-15 11:03:48,152614
2026-01-15 11:04:07,152614
2026-01-15 11:04:26,152614
2026-01-15 11:04:45,152614
2026-01-15 11:05:04,152614
2026-01-15 11:05:23,152614
2026-01-15 11:05:42,152614
2026-01-15 11:06:01,152614
2026-01-15 11:06:20,152614
2026-01-15 11:06:39,152614
2026-01-15 11:06:58,152614
2026-01-15 11:07:17,152614
2026-01-15 11:07:36,152614
2026-01-15 11:07:55,152614
2026-01-15 11:29:01,152614
2026-01-15 11:29:20,152614
2026-01-15 11:29:39,152614
2026-01-15 11:29:58,152614
2026-01-15 11:30:17,152614
2026-01-15 11:30:36,152614
2026-01-15 11:30:55,152614
2026-01-15 11:31:14,152614
2026-01-15 11:31:33,152614
2026-01-15 11:31:52,152614
2026-01-15 11:32:11,152614
2026-01-15 11:32:30,152614
2026-01-15 11:32:49,152614
2026-01-15 11:33:08,152614
