Time,Speed(km/h)
2026-01-14 16:01:36,0
2026-01-14 16:03:11,0
2026-01-14 16:03:35,0
2026-01-14 16:03:58,0
2026-01-14 16:04:22,0
2026-01-14 16:04:46,0
2026-01-14 16:05:10,0
2026-01-14 16:05:33,0
2026-01-14 16:05:57,0
2026-01-14 16:06:21,0
2026-01-14 16:06:45,0
2026-01-14 16:07:19,0
2026-01-14 16:07:43,0
2026-01-14 16:08:07,0
2026-01-14 16:08:30,0
2026-01-14 16:08:54,0
2026-01-14 16:09:18,0
2026-01-14 16:09:41,0
2026-01-14 16:10:05,0
2026-01-14 16:10:29,0
2026-01-14 16:10:53,0
2026-01-14 16:11:16,0
2026-01-14 16:11:40,0
2026-01-14 16:12:04,0
2026-01-14 16:12:28,0
2026-01-14 16:12:51,0
2026-01-14 16:13:29,0
2026-01-14 16:13:47,0
2026-01-14 16:14:07,0
2026-01-14 16:14:26,0
2026-01-14 16:14:45,0
2026-01-14 16:15:03,0
2026-01-14 16:15:23,0
2026-01-14 16:15:42,0
2026-01-14 16:16:01,0
2026-01-14 16:16:20,0
2026-01-14 16:16:39,0
2026-01-14 16:16:58,0
2026-01-14 16:17:17,0
2026-01-14 16:17:36,0
2026-01-14 16:17:55,0
2026-01-14 16:18:14,0
2026-01-14 17:09:00,0
2026-01-14 17:09:23,0
2026-01-14 17:09:47,0
2026-01-14 17:10:06,0
2026-01-14 17:10:25,0
2026-01-14 17:10:44,0
2026-01-14 17:11:03,0
2026-01-14 17:11:22,0
2026-01-14 17:11:41,0
2026-01-14 17:12:00,0
2026-01-14 17:12:19,0
2026-01-14 17:12:38,0
2026-01-14 17:12:57,0
2026-01-14 17:13:16,0
2026-01-14 17:13:35,0
2026-01-14 17:13:54,0
2026-01-14 17:14:13,0
2026-01-14 17:14:32,0
2026-01-14 17:14:51,0
2026-01-14 17:16:38,0
2026-01-14 17:17:02,0
2026-01-14 17:17:26,0
2026-01-14 17:17:48,0
2026-01-14 17:18:06,0
2026-01-14 17:18:26,0
2026-01-14 17:18:44,0
2026-01-14 17:19:04,0
2026-01-14 17:19:23,0
2026-01-14 17:19:42,0
2026-01-14 17:20:01,0
2026-01-14 17:20:20,0
2026-01-14 17:20:39,0
2026-01-14 17:20:58,0
2026-01-14 17:21:17,0
2026-01-14 17:21:36,0
2026-01-14 17:21:55,0
2026-01-14 17:22:14,0
2026-01-14 17:22:33,0
2026-01-14 17:24:20,0
2026-01-14 17:24:43,0
2026-01-14 17:25:07,0
2026-01-14 17:25:31,0
2026-01-14 17:25:55,0
2026-01-14 17:26:14,0
2026-01-14 17:26:33,0
2026-01-14 17:26:52,0
2026-01-14 17:27:11,0
2026-01-14 17:27:30,0
2026-01-14 17:27:49,0
2026-01-14 17:28:08,0
2026-01-14 17:28:27,0
2026-01-14 17:28:46,0
2026-01-14 17:29:05,0
2026-01-14 17:29:24,0
2026-01-14 17:29:43,0
2026-01-14 17:30:02,0
2026-01-14 17:30:21,0
2026-01-14 17:30:40,0
2026-01-14 18:03:43,0
2026-01-14 18:04:02,0
2026-01-14 18:04:21,0
2026-01-14 18:04:40,0
2026-01-14 18:04:59,0
2026-01-14 18:05:18,0
2026-01-14 18:05:37,0
2026-01-14 18:05:56,0
2026-01-14 18:06:15,0
2026-01-14 18:06:34,0
2026-01-14 18:06:53,0
2026-01-14 18:07:12,0
2026-01-14 18:07:31,0
2026-01-14 18:07:50,0
2026-01-14 18:08:09,0
2026-01-14 18:08:28,0
2026-01-14 18:16:08,0
2026-01-14 18:16:32,0
2026-01-14 18:16:55,0
2026-01-14 18:17:19,0
2026-01-14 18:17:43,0
2026-01-14 18:18:07,0
2026-01-14 18:18:30,0
2026-01-14 18:19:02,0
2026-01-14 18:19:21,0
2026-01-14 18:19:40,0
2026-01-14 18:19:59,0
2026-01-14 18:20:18,0
2026-01-14 18:20:37,0
2026-01-14 18:20:56,0
2026-01-14 18:21:15,0
2026-01-14 18:21:34,0
2026-01-14 18:21:53,0
2026-01-14 18:22:12,0
2026-01-14 18:22:31,0
2026-01-14 18:22:50,0
2026-01-14 18:23:09,0
2026-01-14 18:23:28,0
2026-01-14 18:23:47,0
2026-01-14 21:11:22,0
2026-01-14 21:11:41,0
2026-01-14 21:12:00,0
2026-01-14 21:12:19,0
2026-01-14 21:12:38,0
2026-01-14 21:12:57,0
2026-01-14 21:13:16,0
