"Time","capability"
2026-01-21 15:00:08,0 rpm
2026-01-21 15:00:37,0 rpm
2026-01-21 15:01:06,0 rpm
2026-01-21 15:01:34,0 rpm
2026-01-21 15:02:02,0 rpm
2026-01-21 15:02:31,0 rpm
2026-01-21 15:03:00,0 rpm
2026-01-21 15:03:28,0 rpm
2026-01-21 15:03:57,0 rpm
2026-01-21 15:04:25,0 rpm
2026-01-21 15:04:54,0 rpm
2026-01-21 15:05:22,0 rpm
2026-01-21 15:05:51,0 rpm
2026-01-21 15:06:19,0 rpm
2026-01-21 15:06:48,0 rpm
2026-01-21 15:07:16,0 rpm
2026-01-21 15:07:45,0 rpm
2026-01-21 15:09:23,0 rpm
2026-01-21 15:10:48,0 rpm
2026-01-21 15:12:14,0 rpm
2026-01-21 15:14:04,789 rpm
2026-01-21 15:14:32,788 rpm
2026-01-21 15:15:01,1881 rpm
2026-01-21 15:15:30,775 rpm
2026-01-21 15:15:58,1218 rpm
2026-01-21 15:16:26,725 rpm
2026-01-21 15:16:55,898 rpm
2026-01-21 15:17:24,744 rpm
2026-01-21 15:19:12,0 rpm
2026-01-21 15:20:37,0 rpm
2026-01-21 15:22:03,0 rpm
2026-01-21 15:36:46,0 rpm
2026-01-21 15:37:15,787 rpm
2026-01-21 15:37:43,789 rpm
2026-01-21 15:39:13,0 rpm
2026-01-21 15:40:39,0 rpm
2026-01-21 15:42:05,0 rpm
2026-01-21 15:43:29,0 rpm
2026-01-21 15:43:58,0 rpm
2026-01-21 15:44:26,0 rpm
2026-01-21 15:44:55,799 rpm
2026-01-21 15:45:23,1617 rpm
2026-01-21 15:45:52,776 rpm
2026-01-21 15:46:20,1057 rpm
2026-01-21 15:46:49,2069 rpm
2026-01-21 15:47:17,813 rpm
2026-01-21 15:47:46,1255 rpm
2026-01-21 15:48:14,1839 rpm
2026-01-21 15:48:43,1384 rpm
2026-01-21 15:49:11,762 rpm
2026-01-21 15:49:40,1261 rpm
2026-01-21 15:50:08,1182 rpm
2026-01-21 15:50:37,1402 rpm
2026-01-21 15:51:05,758 rpm
2026-01-21 15:51:34,1444 rpm
2026-01-21 15:52:02,797 rpm
2026-01-21 15:52:31,750 rpm
2026-01-21 15:52:59,752 rpm
2026-01-21 15:53:28,1766 rpm
2026-01-21 15:53:57,1200 rpm
2026-01-21 15:54:25,754 rpm
2026-01-21 15:54:53,768 rpm
2026-01-21 15:55:22,752 rpm
2026-01-21 15:55:50,751 rpm
2026-01-21 15:56:19,754 rpm
2026-01-21 15:58:13,1593 rpm
2026-01-21 15:59:09,756 rpm
2026-01-21 15:59:38,2343 rpm
2026-01-21 16:00:06,756 rpm
2026-01-21 16:00:35,1444 rpm
2026-01-21 16:01:03,754 rpm
2026-01-21 16:01:32,752 rpm
2026-01-21 16:02:00,1204 rpm
2026-01-21 16:02:29,1277 rpm
2026-01-21 16:02:57,751 rpm
2026-01-21 16:03:26,1542 rpm
2026-01-21 16:03:54,751 rpm
2026-01-21 16:04:23,750 rpm
2026-01-21 16:04:51,751 rpm
2026-01-21 16:05:20,1214 rpm
2026-01-21 16:05:48,752 rpm
2026-01-21 16:06:17,1389 rpm
2026-01-21 16:06:45,751 rpm
2026-01-21 16:07:14,750 rpm
2026-01-21 16:07:42,723 rpm
2026-01-21 16:08:11,756 rpm
2026-01-21 16:08:39,751 rpm
2026-01-21 16:09:08,754 rpm
2026-01-21 16:09:36,766 rpm
2026-01-21 16:11:14,0 rpm
2026-01-21 16:12:39,0 rpm
2026-01-21 16:14:04,0 rpm
2026-01-21 16:49:04,772 rpm
2026-01-21 16:49:32,805 rpm
2026-01-21 16:50:01,765 rpm
2026-01-21 16:50:29,759 rpm
2026-01-21 16:50:58,1199 rpm
2026-01-21 16:51:26,760 rpm
2026-01-21 16:52:54,0 rpm
2026-01-21 16:53:22,760 rpm
2026-01-21 16:55:01,0 rpm
2026-01-21 16:56:13,855 rpm
2026-01-21 16:56:42,757 rpm
2026-01-21 16:57:11,760 rpm
2026-01-21 16:57:39,1691 rpm
2026-01-21 16:58:07,1338 rpm
2026-01-21 16:58:36,1725 rpm
2026-01-21 16:59:05,754 rpm
2026-01-21 16:59:33,754 rpm
2026-01-21 17:00:02,746 rpm
2026-01-21 17:00:30,752 rpm
2026-01-21 17:02:17,1246 rpm
2026-01-21 17:03:53,0 rpm
2026-01-21 17:05:19,0 rpm
2026-01-21 17:06:45,0 rpm
2026-01-21 17:10:02,725 rpm
2026-01-21 17:10:30,761 rpm
2026-01-21 17:10:59,784 rpm
2026-01-21 17:12:45,0 rpm
2026-01-21 17:14:11,0 rpm
2026-01-21 17:15:37,0 rpm
2026-01-21 17:48:45,779 rpm
2026-01-21 17:55:20,0 rpm
2026-01-21 17:56:46,0 rpm
2026-01-21 17:58:11,0 rpm

