Time,rpm
2026-01-21 15:00:08,0
2026-01-21 15:00:37,0
2026-01-21 15:01:06,0
2026-01-21 15:01:34,0
2026-01-21 15:02:02,0
2026-01-21 15:02:31,0
2026-01-21 15:03:00,0
2026-01-21 15:03:28,0
2026-01-21 15:03:57,0
2026-01-21 15:04:25,0
2026-01-21 15:04:54,0
2026-01-21 15:05:22,0
2026-01-21 15:05:51,0
2026-01-21 15:06:19,0
2026-01-21 15:06:48,0
2026-01-21 15:07:16,0
2026-01-21 15:07:45,0
2026-01-21 15:09:23,0
2026-01-21 15:10:48,0
2026-01-21 15:12:14,0
2026-01-21 15:14:04,789
2026-01-21 15:14:32,788
2026-01-21 15:15:01,1881
2026-01-21 15:15:30,775
2026-01-21 15:15:58,1218
2026-01-21 15:16:26,725
2026-01-21 15:16:55,898
2026-01-21 15:17:24,744
2026-01-21 15:19:12,0
2026-01-21 15:20:37,0
2026-01-21 15:22:03,0
2026-01-21 15:36:46,0
2026-01-21 15:37:15,787
2026-01-21 15:37:43,789
2026-01-21 15:39:13,0
2026-01-21 15:40:39,0
2026-01-21 15:42:05,0
2026-01-21 15:43:29,0
2026-01-21 15:43:58,0
2026-01-21 15:44:26,0
2026-01-21 15:44:55,799
2026-01-21 15:45:23,1617
2026-01-21 15:45:52,776
2026-01-21 15:46:20,1057
2026-01-21 15:46:49,2069
2026-01-21 15:47:17,813
2026-01-21 15:47:46,1255
2026-01-21 15:48:14,1839
2026-01-21 15:48:43,1384
2026-01-21 15:49:11,762
2026-01-21 15:49:40,1261
2026-01-21 15:50:08,1182
2026-01-21 15:50:37,1402
2026-01-21 15:51:05,758
2026-01-21 15:51:34,1444
2026-01-21 15:52:02,797
2026-01-21 15:52:31,750
2026-01-21 15:52:59,752
2026-01-21 15:53:28,1766
2026-01-21 15:53:57,1200
2026-01-21 15:54:25,754
2026-01-21 15:54:53,768
2026-01-21 15:55:22,752
2026-01-21 15:55:50,751
2026-01-21 15:56:19,754
2026-01-21 15:58:13,1593
2026-01-21 15:59:09,756
2026-01-21 15:59:38,2343
2026-01-21 16:00:06,756
2026-01-21 16:00:35,1444
2026-01-21 16:01:03,754
2026-01-21 16:01:32,752
2026-01-21 16:02:00,1204
2026-01-21 16:02:29,1277
2026-01-21 16:02:57,751
2026-01-21 16:03:26,1542
2026-01-21 16:03:54,751
2026-01-21 16:04:23,750
2026-01-21 16:04:51,751
2026-01-21 16:05:20,1214
2026-01-21 16:05:48,752
2026-01-21 16:06:17,1389
2026-01-21 16:06:45,751
2026-01-21 16:07:14,750
2026-01-21 16:07:42,723
2026-01-21 16:08:11,756
2026-01-21 16:08:39,751
2026-01-21 16:09:08,754
2026-01-21 16:09:36,766
2026-01-21 16:11:14,0
2026-01-21 16:12:39,0
2026-01-21 16:14:04,0
2026-01-21 16:49:04,772
2026-01-21 16:49:32,805
2026-01-21 16:50:01,765
2026-01-21 16:50:29,759
2026-01-21 16:50:58,1199
2026-01-21 16:51:26,760
2026-01-21 16:52:54,0
2026-01-21 16:53:22,760
2026-01-21 16:55:01,0
2026-01-21 16:56:13,855
2026-01-21 16:56:42,757
2026-01-21 16:57:11,760
2026-01-21 16:57:39,1691
2026-01-21 16:58:07,1338
2026-01-21 16:58:36,1725
2026-01-21 16:59:05,754
2026-01-21 16:59:33,754
2026-01-21 17:00:02,746
2026-01-21 17:00:30,752
2026-01-21 17:02:17,1246
2026-01-21 17:03:53,0
2026-01-21 17:05:19,0
2026-01-21 17:06:45,0
2026-01-21 17:10:02,725
2026-01-21 17:10:30,761
2026-01-21 17:10:59,784
2026-01-21 17:12:45,0
2026-01-21 17:14:11,0
2026-01-21 17:15:37,0
2026-01-21 17:48:45,779
2026-01-21 17:55:20,0
2026-01-21 17:56:46,0
2026-01-21 17:58:11,0
