"Time","capability"
2026-01-22 10:15:07,0 km/h
2026-01-22 10:16:32,0 km/h
2026-01-22 10:17:58,0 km/h
2026-01-22 10:57:09,0 km/h
2026-01-22 10:57:41,0 km/h
2026-01-22 10:58:09,0 km/h
2026-01-22 10:58:38,0 km/h
2026-01-22 10:59:06,4.57 km/h
2026-01-22 10:59:35,38.5 km/h
2026-01-22 11:00:03,16.4 km/h
2026-01-22 11:00:32,0 km/h
2026-01-22 11:01:00,12.0 km/h
2026-01-22 11:01:29,12.2 km/h
2026-01-22 11:01:57,17.8 km/h
2026-01-22 11:02:26,0 km/h
2026-01-22 11:02:54,0 km/h
2026-01-22 11:03:23,16.1 km/h
2026-01-22 11:03:51,0 km/h
2026-01-22 11:04:20,0 km/h
2026-01-22 11:04:48,15.8 km/h
2026-01-22 11:05:17,24.1 km/h
2026-01-22 11:05:45,31.5 km/h
2026-01-22 11:06:14,0 km/h
2026-01-22 11:06:42,36.4 km/h
2026-01-22 11:07:11,30.3 km/h
2026-01-22 11:07:39,32.4 km/h
2026-01-22 11:08:08,0 km/h
2026-01-22 11:08:36,31.0 km/h
2026-01-22 11:10:30,22.1 km/h
2026-01-22 11:10:59,2.48 km/h
2026-01-22 11:11:28,29.4 km/h
2026-01-22 11:11:56,21.5 km/h
2026-01-22 11:12:24,46.4 km/h
2026-01-22 11:12:53,26.9 km/h
2026-01-22 11:13:22,27.1 km/h
2026-01-22 11:13:50,32.6 km/h
2026-01-22 11:14:19,21.4 km/h
2026-01-22 11:14:47,28.9 km/h
2026-01-22 11:15:16,16.7 km/h
2026-01-22 11:15:44,0 km/h
2026-01-22 11:16:13,41.3 km/h
2026-01-22 11:16:41,0 km/h
2026-01-22 11:18:07,27.9 km/h
2026-01-22 11:18:35,15.8 km/h
2026-01-22 11:19:04,36.6 km/h
2026-01-22 11:19:32,39.4 km/h
2026-01-22 11:20:01,16.5 km/h
2026-01-22 11:20:29,6.63 km/h
2026-01-22 11:20:58,24.3 km/h
2026-01-22 11:21:26,29.3 km/h
2026-01-22 11:21:55,3.51 km/h
2026-01-22 11:23:20,7.83 km/h
2026-01-22 11:23:49,13.5 km/h
2026-01-22 11:24:17,31.8 km/h
2026-01-22 11:24:46,25.6 km/h
2026-01-22 11:25:14,13.9 km/h
2026-01-22 11:25:43,23.7 km/h
2026-01-22 11:26:11,4.30 km/h
2026-01-22 11:26:40,0 km/h
2026-01-22 11:27:08,32.6 km/h
2026-01-22 11:27:37,36.4 km/h
2026-01-22 11:28:05,32.8 km/h
2026-01-22 11:28:34,37.7 km/h
2026-01-22 11:29:03,13.4 km/h
2026-01-22 11:30:28,25.3 km/h
2026-01-22 11:30:57,10.7 km/h
2026-01-22 11:31:25,40.0 km/h
2026-01-22 11:31:53,26.9 km/h
2026-01-22 11:32:22,25.0 km/h
2026-01-22 11:32:51,1.86 km/h
2026-01-22 11:33:19,7.26 km/h
2026-01-22 11:35:13,43.1 km/h
2026-01-22 11:35:42,26.3 km/h
2026-01-22 11:36:10,2.86 km/h
2026-01-22 11:36:39,0 km/h
2026-01-22 11:37:07,5.51 km/h
2026-01-22 11:37:36,17.1 km/h
2026-01-22 11:38:04,0 km/h
2026-01-22 11:38:33,24.1 km/h
2026-01-22 11:39:01,26.4 km/h
2026-01-22 11:39:30,1.05 km/h
2026-01-22 11:39:58,18.0 km/h
2026-01-22 11:40:27,31.6 km/h
2026-01-22 11:40:55,22.6 km/h
2026-01-22 11:41:24,1.59 km/h
2026-01-22 11:41:52,0 km/h
2026-01-22 11:42:21,23.5 km/h
2026-01-22 11:42:49,20.0 km/h
2026-01-22 11:43:18,22.6 km/h
2026-01-22 11:43:46,2.09 km/h
2026-01-22 11:44:15,0 km/h
2026-01-22 11:44:43,48.5 km/h
2026-01-22 11:45:12,0 km/h
2026-01-22 11:45:40,13.4 km/h
2026-01-22 11:46:09,4.64 km/h
2026-01-22 11:46:37,7.57 km/h
2026-01-22 11:47:06,0 km/h
2026-01-22 11:47:34,24.6 km/h
2026-01-22 11:48:03,0 km/h
2026-01-22 11:49:37,0 km/h
2026-01-22 11:51:03,0 km/h
2026-01-22 11:52:28,0 km/h
2026-01-22 11:59:23,0 km/h
2026-01-22 12:00:07,0 km/h
2026-01-22 12:00:36,0 km/h
2026-01-22 12:01:04,0 km/h
2026-01-22 12:01:33,0 km/h
2026-01-22 12:02:01,0 km/h
2026-01-22 12:02:30,0 km/h
2026-01-22 12:02:58,0 km/h
2026-01-22 12:03:27,0 km/h
2026-01-22 12:03:55,0 km/h
2026-01-22 12:04:24,0 km/h
2026-01-22 12:04:52,0 km/h
2026-01-22 12:06:00,0 km/h
2026-01-22 12:06:28,0 km/h
2026-01-22 12:06:57,0 km/h
2026-01-22 12:07:25,0 km/h
2026-01-22 12:07:54,0 km/h
2026-01-22 12:08:22,0 km/h
2026-01-22 12:08:51,0 km/h
2026-01-22 12:09:19,0 km/h
2026-01-22 12:11:02,0 km/h
2026-01-22 12:12:28,0 km/h
2026-01-22 12:13:53,0 km/h
2026-01-22 12:57:57,0 km/h
2026-01-22 12:58:25,2.12 km/h
2026-01-22 12:58:54,29.4 km/h
2026-01-22 12:59:23,13.5 km/h
2026-01-22 12:59:51,0 km/h

