Time,Speed(km/h)
2026-01-22 10:15:07,0
2026-01-22 10:16:32,0
2026-01-22 10:17:58,0
2026-01-22 10:57:09,0
2026-01-22 10:57:41,0
2026-01-22 10:58:09,0
2026-01-22 10:58:38,0
2026-01-22 10:59:06,5
2026-01-22 10:59:35,38
2026-01-22 11:00:03,16
2026-01-22 11:00:32,0
2026-01-22 11:01:00,12
2026-01-22 11:01:29,12
2026-01-22 11:01:57,18
2026-01-22 11:02:26,0
2026-01-22 11:02:54,0
2026-01-22 11:03:23,16
2026-01-22 11:03:51,0
2026-01-22 11:04:20,0
2026-01-22 11:04:48,16
2026-01-22 11:05:17,24
2026-01-22 11:05:45,32
2026-01-22 11:06:14,0
2026-01-22 11:06:42,36
2026-01-22 11:07:11,30
2026-01-22 11:07:39,32
2026-01-22 11:08:08,0
2026-01-22 11:08:36,31
2026-01-22 11:10:30,22
2026-01-22 11:10:59,2
2026-01-22 11:11:28,29
2026-01-22 11:11:56,22
2026-01-22 11:12:24,46
2026-01-22 11:12:53,27
2026-01-22 11:13:22,27
2026-01-22 11:13:50,33
2026-01-22 11:14:19,21
2026-01-22 11:14:47,29
2026-01-22 11:15:16,17
2026-01-22 11:15:44,0
2026-01-22 11:16:13,41
2026-01-22 11:16:41,0
2026-01-22 11:18:07,28
2026-01-22 11:18:35,16
2026-01-22 11:19:04,37
2026-01-22 11:19:32,39
2026-01-22 11:20:01,16
2026-01-22 11:20:29,7
2026-01-22 11:20:58,24
2026-01-22 11:21:26,29
2026-01-22 11:21:55,4
2026-01-22 11:23:20,8
2026-01-22 11:23:49,14
2026-01-22 11:24:17,32
2026-01-22 11:24:46,26
2026-01-22 11:25:14,14
2026-01-22 11:25:43,24
2026-01-22 11:26:11,4
2026-01-22 11:26:40,0
2026-01-22 11:27:08,33
2026-01-22 11:27:37,36
2026-01-22 11:28:05,33
2026-01-22 11:28:34,38
2026-01-22 11:29:03,13
2026-01-22 11:30:28,25
2026-01-22 11:30:57,11
2026-01-22 11:31:25,40
2026-01-22 11:31:53,27
2026-01-22 11:32:22,25
2026-01-22 11:32:51,2
2026-01-22 11:33:19,7
2026-01-22 11:35:13,43
2026-01-22 11:35:42,26
2026-01-22 11:36:10,3
2026-01-22 11:36:39,0
2026-01-22 11:37:07,6
2026-01-22 11:37:36,17
2026-01-22 11:38:04,0
2026-01-22 11:38:33,24
2026-01-22 11:39:01,26
2026-01-22 11:39:30,1
2026-01-22 11:39:58,18
2026-01-22 11:40:27,32
2026-01-22 11:40:55,23
2026-01-22 11:41:24,2
2026-01-22 11:41:52,0
2026-01-22 11:42:21,24
2026-01-22 11:42:49,20
2026-01-22 11:43:18,23
2026-01-22 11:43:46,2
2026-01-22 11:44:15,0
2026-01-22 11:44:43,48
2026-01-22 11:45:12,0
2026-01-22 11:45:40,13
2026-01-22 11:46:09,5
2026-01-22 11:46:37,8
2026-01-22 11:47:06,0
2026-01-22 11:47:34,25
2026-01-22 11:48:03,0
2026-01-22 11:49:37,0
2026-01-22 11:51:03,0
2026-01-22 11:52:28,0
2026-01-22 11:59:23,0
2026-01-22 12:00:07,0
2026-01-22 12:00:36,0
2026-01-22 12:01:04,0
2026-01-22 12:01:33,0
2026-01-22 12:02:01,0
2026-01-22 12:02:30,0
2026-01-22 12:02:58,0
2026-01-22 12:03:27,0
2026-01-22 12:03:55,0
2026-01-22 12:04:24,0
2026-01-22 12:04:52,0
2026-01-22 12:06:00,0
2026-01-22 12:06:28,0
2026-01-22 12:06:57,0
2026-01-22 12:07:25,0
2026-01-22 12:07:54,0
2026-01-22 12:08:22,0
2026-01-22 12:08:51,0
2026-01-22 12:09:19,0
2026-01-22 12:11:02,0
2026-01-22 12:12:28,0
2026-01-22 12:13:53,0
2026-01-22 12:57:57,0
2026-01-22 12:58:25,2
2026-01-22 12:58:54,29
2026-01-22 12:59:23,14
2026-01-22 12:59:51,0
