"Time","EngineSpeed"
2026-02-02 14:37:08,808
2026-02-02 14:37:10,811
2026-02-02 14:37:12,808
2026-02-02 14:37:14,811
2026-02-02 14:37:16,811
2026-02-02 14:37:18,801
2026-02-02 14:37:20,809
2026-02-02 14:37:23,808
2026-02-02 14:37:25,806
2026-02-02 14:37:27,808
2026-02-02 14:37:29,807
2026-02-02 14:37:31,807
2026-02-02 14:37:33,807
2026-02-02 14:37:35,808
2026-02-02 14:37:37,805
2026-02-02 14:37:39,801
2026-02-02 14:37:41,808
2026-02-02 14:37:43,804
2026-02-02 14:37:45,802
2026-02-02 14:37:47,807
2026-02-02 14:37:49,804
2026-02-02 14:37:51,801
2026-02-02 14:37:53,801
2026-02-02 14:37:54,801
2026-02-02 14:37:56,810
2026-02-02 14:37:58,805
2026-02-02 14:38:00,797
2026-02-02 14:38:02,802
2026-02-02 14:38:04,805
2026-02-02 14:38:06,804
2026-02-02 14:38:08,800
2026-02-02 14:38:10,801
2026-02-02 14:38:12,802
2026-02-02 14:38:14,804
2026-02-02 14:38:16,800
2026-02-02 14:38:19,801
2026-02-02 14:38:21,808
2026-02-02 14:38:23,805
2026-02-02 14:38:25,801
2026-02-02 14:38:27,802
2026-02-02 14:38:29,803
2026-02-02 14:38:31,805
2026-02-02 14:38:33,802
2026-02-02 14:38:35,798
2026-02-02 14:38:37,801
2026-02-02 14:38:39,802
2026-02-02 14:38:41,942
2026-02-02 14:38:43,1068
2026-02-02 14:38:45,801
2026-02-02 14:38:47,1298
2026-02-02 14:38:49,968
2026-02-02 14:38:50,833
2026-02-02 14:38:52,1119
2026-02-02 14:38:54,809
2026-02-02 14:38:56,864
2026-02-02 14:38:58,792
2026-02-02 14:39:00,816
2026-02-02 14:39:02,810
2026-02-02 14:39:04,839
2026-02-02 14:39:06,811
2026-02-02 14:39:08,793
2026-02-02 14:39:10,802
2026-02-02 14:39:13,776
2026-02-02 14:39:15,1074
2026-02-02 14:39:17,898
2026-02-02 14:39:19,846
2026-02-02 14:39:21,797
2026-02-02 14:39:23,933
2026-02-02 14:39:25,1244
2026-02-02 14:39:27,790
2026-02-02 14:39:29,792
2026-02-02 14:39:31,802
2026-02-02 14:39:33,1541
2026-02-02 14:39:35,1329
2026-02-02 14:39:37,3306
2026-02-02 14:39:39,2563
2026-02-02 14:39:41,2400
2026-02-02 14:39:43,2012
2026-02-02 14:39:45,1839
2026-02-02 14:39:46,1747
2026-02-02 14:39:48,1574
2026-02-02 14:39:50,1423
2026-02-02 14:39:52,1259
2026-02-02 14:39:54,1143
2026-02-02 14:39:56,785
2026-02-02 14:39:58,799
2026-02-02 14:40:00,797
2026-02-02 14:40:02,798
2026-02-02 14:40:04,794
2026-02-02 14:40:06,791
2026-02-02 14:40:09,793
2026-02-02 14:40:11,788
2026-02-02 14:40:13,789
2026-02-02 14:40:15,793
2026-02-02 14:40:17,792
2026-02-02 14:40:19,795
2026-02-02 14:40:21,793
2026-02-02 14:40:23,797
2026-02-02 14:40:25,796
2026-02-02 14:40:27,790
2026-02-02 14:40:29,794
2026-02-02 14:40:31,1939
2026-02-02 14:40:33,1634
2026-02-02 14:40:35,1915
2026-02-02 14:40:37,1235
2026-02-02 14:40:39,1295
2026-02-02 14:40:41,1430
2026-02-02 14:40:42,1562
2026-02-02 14:40:44,1782
2026-02-02 14:40:46,1183
2026-02-02 14:40:48,1155
2026-02-02 14:40:50,1187
2026-02-02 14:40:52,1233
2026-02-02 14:40:54,1179
2026-02-02 14:40:56,879
2026-02-02 14:40:58,1371
2026-02-02 14:41:00,1250
2026-02-02 14:41:02,979
2026-02-02 14:41:05,844
2026-02-02 14:41:07,787
2026-02-02 14:41:09,786
2026-02-02 14:41:11,785
2026-02-02 14:41:13,787
2026-02-02 14:41:15,788
2026-02-02 14:41:17,788
2026-02-02 14:41:19,788
2026-02-02 14:41:21,790
2026-02-02 14:41:23,787
2026-02-02 14:41:26,785
2026-02-02 14:41:27,790
2026-02-02 14:41:29,784
2026-02-02 14:41:31,1932
2026-02-02 14:41:33,1572
2026-02-02 14:41:34,1326
2026-02-02 14:41:36,1976
2026-02-02 14:41:38,1285
2026-02-02 14:41:40,1308
2026-02-02 14:41:42,1365
2026-02-02 14:41:44,1298
2026-02-02 14:41:46,1137
2026-02-02 14:41:48,948
2026-02-02 14:41:50,889
2026-02-02 14:41:52,782
2026-02-02 14:41:55,782
2026-02-02 14:41:57,782
2026-02-02 14:41:59,790
2026-02-02 14:42:01,782
2026-02-02 14:42:03,782
2026-02-02 14:42:05,788
2026-02-02 14:42:07,782
2026-02-02 14:42:09,788
2026-02-02 14:42:11,783
2026-02-02 14:42:13,785
2026-02-02 14:42:15,787
2026-02-02 14:42:17,782
2026-02-02 14:42:19,786
2026-02-02 14:42:21,784
2026-02-02 14:42:23,782
2026-02-02 14:42:25,787
2026-02-02 14:42:27,779
2026-02-02 14:42:28,787
2026-02-02 14:42:30,783
2026-02-02 14:42:32,786
2026-02-02 14:42:34,785
2026-02-02 14:42:36,786
2026-02-02 14:42:38,785
2026-02-02 14:42:40,786
2026-02-02 14:42:42,784
2026-02-02 14:42:44,787
2026-02-02 14:42:46,920
2026-02-02 14:42:48,1510
2026-02-02 14:42:51,1803
2026-02-02 14:42:53,1013
2026-02-02 14:42:55,1330
2026-02-02 14:42:57,1452
2026-02-02 14:42:59,1385
2026-02-02 14:43:01,1356
2026-02-02 14:43:03,1312
2026-02-02 14:43:05,985
2026-02-02 14:43:07,904
2026-02-02 14:43:09,807
2026-02-02 14:43:11,1105
2026-02-02 14:43:13,1045
2026-02-02 14:43:15,823
2026-02-02 14:43:17,886
2026-02-02 14:43:19,1001
2026-02-02 14:43:21,1375
2026-02-02 14:43:23,1626
2026-02-02 14:43:24,1779
2026-02-02 14:43:26,1199
2026-02-02 14:43:28,741
2026-02-02 14:43:30,1488
2026-02-02 14:43:32,1859
2026-02-02 14:43:34,1227
2026-02-02 14:43:36,1361
2026-02-02 14:43:38,1404
2026-02-02 14:43:40,1348
2026-02-02 14:43:42,1309
2026-02-02 14:43:45,1427
2026-02-02 14:43:47,1574
2026-02-02 14:43:49,1053
2026-02-02 14:43:51,1078
2026-02-02 14:43:53,1100
2026-02-02 14:43:55,1366
2026-02-02 14:43:57,1328
2026-02-02 14:43:59,1250
2026-02-02 14:44:01,1182
2026-02-02 14:44:03,1083
2026-02-02 14:44:05,1212
2026-02-02 14:44:07,1382
2026-02-02 14:44:09,1623
2026-02-02 14:44:11,911
2026-02-02 14:44:13,1271
2026-02-02 14:44:15,1251
2026-02-02 14:44:16,1226
2026-02-02 14:44:18,1288
2026-02-02 14:44:20,1271
2026-02-02 14:44:22,1185
2026-02-02 14:44:24,904
2026-02-02 14:44:26,752
2026-02-02 14:44:28,743
2026-02-02 14:44:30,767
2026-02-02 14:44:32,1468
2026-02-02 14:44:34,833
2026-02-02 14:44:36,756
2026-02-02 14:44:40,811
2026-02-02 14:44:42,783
2026-02-02 14:44:44,767
2026-02-02 14:44:46,770
2026-02-02 14:44:48,769
2026-02-02 14:44:50,779
2026-02-02 14:44:52,1572
2026-02-02 14:44:54,2126
2026-02-02 14:44:56,1753
2026-02-02 14:44:58,1614
2026-02-02 14:45:01,1406
2026-02-02 14:45:03,1008
2026-02-02 14:45:05,903
2026-02-02 14:45:07,1465
2026-02-02 14:45:09,1490
2026-02-02 14:45:11,1731
2026-02-02 14:45:13,1563
2026-02-02 14:45:15,1466
2026-02-02 14:45:17,1658
2026-02-02 14:45:19,1476
2026-02-02 14:45:21,730
2026-02-02 14:45:23,767
2026-02-02 14:45:25,769
2026-02-02 14:45:27,770
2026-02-02 14:45:29,763
2026-02-02 14:45:30,764
2026-02-02 14:45:32,765
2026-02-02 14:45:34,766
2026-02-02 14:45:36,764
2026-02-02 14:45:38,765
2026-02-02 14:45:40,766
2026-02-02 14:45:42,763
2026-02-02 14:45:44,769
2026-02-02 14:45:46,770
2026-02-02 14:45:48,767
2026-02-02 14:45:50,767
2026-02-02 14:45:53,767
