"Time","EngineSpeed"
2026-02-05 16:28:04,795
2026-02-05 16:28:06,799
2026-02-05 16:28:07,801
2026-02-05 16:28:09,795
2026-02-05 16:28:11,797
2026-02-05 16:28:13,801
2026-02-05 16:28:15,801
2026-02-05 16:28:17,796
2026-02-05 16:28:18,792
2026-02-05 16:28:20,795
2026-02-05 16:28:22,793
2026-02-05 16:28:24,796
2026-02-05 16:28:26,794
2026-02-05 16:28:28,792
2026-02-05 16:28:30,1239
2026-02-05 16:28:32,774
2026-02-05 16:28:34,795
2026-02-05 16:28:36,903
2026-02-05 16:28:38,887
2026-02-05 16:28:40,1235
2026-02-05 16:28:42,777
2026-02-05 16:28:44,875
2026-02-05 16:28:46,767
2026-02-05 16:28:48,810
2026-02-05 16:28:51,787
2026-02-05 16:28:53,798
2026-02-05 16:28:55,792
2026-02-05 16:28:57,1222
2026-02-05 16:28:59,1147
2026-02-05 16:29:01,886
2026-02-05 16:29:03,782
2026-02-05 16:29:05,788
2026-02-05 16:29:07,794
2026-02-05 16:29:09,792
2026-02-05 16:29:11,793
2026-02-05 16:29:13,794
2026-02-05 16:29:15,796
2026-02-05 16:29:16,794
2026-02-05 16:29:18,789
2026-02-05 16:29:20,794
2026-02-05 16:29:22,798
2026-02-05 16:29:24,1501
2026-02-05 16:29:26,2007
2026-02-05 16:29:28,2946
2026-02-05 16:29:30,1832
2026-02-05 16:29:32,2136
2026-02-05 16:29:34,2205
2026-02-05 16:29:36,2294
2026-02-05 16:29:38,2330
2026-02-05 16:29:40,2160
2026-02-05 16:29:42,1958
2026-02-05 16:29:44,1713
2026-02-05 16:29:46,1411
2026-02-05 16:29:49,1070
2026-02-05 16:29:51,882
2026-02-05 16:29:53,784
2026-02-05 16:29:55,849
2026-02-05 16:29:57,783
2026-02-05 16:29:59,789
2026-02-05 16:30:01,939
2026-02-05 16:30:03,956
2026-02-05 16:30:05,782
2026-02-05 16:30:07,999
2026-02-05 16:30:09,1871
2026-02-05 16:30:11,2577
2026-02-05 16:30:13,1660
2026-02-05 16:30:14,1835
2026-02-05 16:30:16,2081
2026-02-05 16:30:18,2055
2026-02-05 16:30:20,1918
2026-02-05 16:30:22,1986
2026-02-05 16:30:24,2119
2026-02-05 16:30:26,1101
2026-02-05 16:30:28,1480
2026-02-05 16:30:30,1486
2026-02-05 16:30:32,1493
2026-02-05 16:30:34,1497
2026-02-05 16:30:36,1538
2026-02-05 16:30:38,1625
2026-02-05 16:30:40,1554
2026-02-05 16:30:42,1470
2026-02-05 16:30:44,1326
2026-02-05 16:30:47,1208
2026-02-05 16:30:49,1161
2026-02-05 16:30:51,1173
2026-02-05 16:30:53,1218
